Question 1,Questions 2,Similarity
Total number in gestation?,Total number in gestation?,1
Total number of babies in this pregnancy:,Verified eligibility and engagement in the selected program(s) via initial assessment/discussion:,0
Transferring:,Walking:,0
Transplant Referral Absolute Contra Indications (KRS),Was COE steerage done?,0
Transportation,"Was education provided on signs and symptoms of infection, dehydration or potential complications?",0
"Trouble concentrating on things, such as reading the newspaper or watching television",Was home health care ordered?,0
"Trouble falling or staying asleep, or sleeping too much",Was member discharged on or before expected length of stay?,0
Trouble relaxing,Was member moved to an Alternative/Lower level of care?,0
Trouble sleeping,Was outreach to the member within one business day of the CSP RN receiving the discharge alert?,0
Type of IVF (check all that apply):,Was patient employed prior to cancer diagnosis?,0
Type of Surgery:,Was steerage successful to top recommended facility?  What is the patient's final decision on facility?,0
Type of cancer:,What type of cancer?,1
Type of delivery planned:,Was your delivery planned (c-section or induction)?,0
Type of notification:,Was your total score 5 or more?,0
Type of pain control planned:,We all miss doses now and then. How many doses would you say you missed in the past week?,0
Type of partner referral:,Weighs self according to physician protocol?,0
Type of patient/ family call:,Were you able to contact the enrollee?,0
Type of surgery,Type of surgery,1
Under active treatment for cancer?,"Were you and/or your caregiver able to understand the instructions you received (e.g. medications, treatments, labs, follow-up appointments)?",0
Under the care of a cardiologist (heart doctor)?,Were you given any specific activity restrictions or exercise recommendations on your discharge instructions from your doctor?,0
Using the toilet,What about ...,0
Verified eligibility and engagement in the selected program(s) via initial assessment/discussion:,What activities have been restricted?,0
Walking:,What are your current symptoms? (knee),0
Was COE steerage done?,What are your current symptoms? (LBP),0
"Was education provided on signs and symptoms of infection, dehydration or potential complications?",What are your current symptoms? (obesity),0
Was home health care ordered?,Was home health care ordered?,1
Was member discharged on or before expected length of stay?,What arrangements do you have for an interpreter? (check all that apply),0
Was member moved to an Alternative/Lower level of care?,What cancer diagnosis does member have that requires radiation therapy?,0
Was outreach to the member within one business day of the CSP RN receiving the discharge alert?,What caused the fall(s)?,0
Was patient employed prior to cancer diagnosis?,What condition are you facing (knee)?,0
Was steerage successful to top recommended facility?  What is the patient's final decision on facility?,What condition are you facing? (LBP),0
Was the welcome packet sent?,Was the welcome packet sent?,1
Was your delivery planned (c-section or induction)?,What condition are you facing? (prostate cancer),0
Was your total score 5 or more?,Was your total score 5?,1
We all miss doses now and then. How many doses would you say you missed in the past week?,What criteria led to this intensity level: (select all that apply),0
Weighs self according to physician protocol?,"What cultural, religious or lifestyle beliefs are important to your health care?",0
Were you able to contact the enrollee?,"What cultural, religious or lifestyle beliefs might affect the kind of care you want to receive?",0
Were you able to get (all of) the equipment?,What diagnostic work-up has been done to-date?,0
"Were you and/or your caregiver able to understand the instructions you received (e.g. medications, treatments, labs, follow-up appointments)?",What do you think caused you to be admitted to the hospital?,0
Were you given any specific activity restrictions or exercise recommendations on your discharge instructions from your doctor?,What financial concerns do you have related to your health care?,0
What Type of Access Does the Patient Have?,What has prevented you or could prevent you from treating your (chronic condition)?,0
What about ...,What health conditions do you currently have?,0
What activities have been restricted?,What activities have been restricted?,1
What are your current symptoms? (LBP),What hypoglycemic agents is the patient on? Check all that apply:,0
What are your current symptoms? (Prostate cancer),What is a symptom (or symptoms) that you are experiencing that you feel could be better managed/controlled (select all that apply)?,0
What are your current symptoms? (knee),What are your current symptoms?,1
What are your current symptoms? (obesity),What is an acceptable/manageable symptom level for Anxiety/Depression on a scale of 1-10?,0
What arrangements do you have for an interpreter? (check all that apply),What is an acceptable/manageable symptom level for Fatigue/Sleep/Energy/Endurance/Quality of Life on a scale of 1-10?,0
What is the current treatment plan?,What is the current treatment plan?,1
What caused the fall(s)?,What is the designation of the facility where the member will receive treatment?,0
What condition are you facing (knee)?,What is the etiology of your Kidney Disease?,0
What condition are you facing? (LBP),What condition are you facing?,1
What condition are you facing? (obesity),What condition are you facing in (obesity)?,1
What condition are you facing? (prostate cancer),What is the intent of the patients treatment regimen?,0
What criteria led to this intensity level: (check all that apply),What is the list of prioritized list of issues worked DURING THIS CALL: (select all that apply),0
What criteria led to this intensity level: (select all that apply),What is the member's Global Distress Stratification?,0
"What cultural, religious or lifestyle beliefs are important to your health care?",What is the member's pre-intent on center selection (region) for treatment prior to speaking with nurse?,0
"What cultural, religious or lifestyle beliefs might affect the kind of care you want to receive?",What is the member's stratification based on the GAD-7 score?,0
What diagnostic work-up has been done to-date?,What is the member's stratification based on the PHQ-9 score?,0
What do you think caused you to be admitted to the hospital?,What is the network status for the member dialysis center?,0
What financial concerns do you have related to your health care?,What is the network status of the nephrologist?,0
What is the plan for permanent access?,What is the plan for permanent access?,1
What health conditions do you currently have?,What is the present stage of CKD:,0
What hypoglycemic agents is the patient on? Check all that apply.,What is the presumed cause of CKD?,0
What hypoglycemic agents is the patient on? Check all that apply:,What is the presumed primary cause of CKD?,0
What is a symptom (or symptoms) that you are experiencing that you feel could be better managed/controlled (select all that apply)?,What is the primary medical diagnosis you were given when you were discharged from the ER?,0
What is an acceptable/manageable pain level on a scale of 1-10?,What is the product type? [CKD Pilot],0
What is an acceptable/manageable symptom level for Anxiety/Depression on a scale of 1-10?,What is the purpose of completing this assessment?,0
What is an acceptable/manageable symptom level for Fatigue/Sleep/Energy/Endurance/Quality of Life on a scale of 1-10?,What is the purpose of this assessment?,0
What is the purpose of this call?,What is the purpose of this call?,1
What is the designation of the facility where the member will receive treatment?,What is the reason permanent access is not an AVF?,0
What is the etiology of your Kidney Disease?,What is the referral source?,0
What is the funding arrangement for this member plan? [CKD Pilot],What is the sex of your baby/babies?,0
What is the highest level of education you have completed?,What is your current living arrangement?,0
What is the intent of the patients treatment regimen?,What is your current work status?,0
What is the list of prioritized list of issues worked DURING THIS CALL: (select all that apply),What is your understanding of your condition ?,0
What is the member's Global Distress Stratification?,What is your usual footwear? (Check all that apply),0
What is the member's pre-intent on center selection (region) for treatment prior to speaking with nurse?,What is the member's pre-intent on center selection (region) for treatment prior to speaking with nurse?,1
What is the member's stratification based on the GAD-7 score?,What priority is patient?,0
What is the member's stratification based on the PHQ-9 score?,What priority is the member?,0
What is the network status for the member dialysis center?,What program is this member associated with?,0
What is the network status of the nephrologist?,What is the network status of the nephrologist?,1
What is the plan for permanent access?,What steps did you take before going to the ER?,0
What is the present stage of CKD:,What symptoms are you having (check all that apply)? (late post discharge),0
What is the presumed cause of CKD?,What tests have you had to confirm this condition?,0
What is the presumed primary cause of CKD?,What time of day did you go to the ER for your visit(s)?,0
What is the primary medical diagnosis you were given when you were discharged from the ER?,What type of access does the member have?,0
What is the product type? [CKD Pilot],What Type of Access Does the Patient Have?,0
What is the purpose of completing this assessment?,What is the purpose of completing this assessment?,1
What is the purpose of this assessment?,What type of diet?,0
What is the purpose of this call?,What type of equipment did they prescribe ? (check all that apply),0
What is the reason permanent access is not an AVF?,What type of equipment did they prescribe/ recommend? (check all that apply),0
What is the referral source?,What is the referral source?,1
What is the sex of your baby/babies?,What type of network gap?,0
What is your current living arrangement?,What type of permanent access? (Primary Access being utilized at the time question asked),0
What is your current work status?,What type of provider did the member choose?,0
What is your understanding of your condition ?,What type of surgery was it?,0
What is your usual footwear? (Check all that apply),What type of treatment have you tried?,0
What other resources were provided? (select all that apply),What type of trouble are you having?,0
What priority is patient?,What priority is the member?,1
What priority is the member?,What priority is patient?,1
What program is this member associated with?,What type(s) of tobacco cessation intervention are you currently using?,0
What seems to ease the pain? (check all that apply),What type(s) of tobacco do you currently use:,0
What steps did you take before going to the ER?,What types of diets has member tried in the past? (select all that apply),0
What symptoms are you having (check all that apply)? (late post discharge),What types of hearing equipment do you use? (check all that apply),0
What tests have you had to confirm this condition?,What types of tobacco do you use? (check all that apply),0
What time of day did you go to the ER for your visit(s)?,What was the outcome Pre-Transplant evaluation work up?,0
What type of access does the member have?,What was the sex of your baby?,0
What type of dialysis type are you on?,Which type of dialysis treatment is the member currently receiving?,1
What type of diet?,What were those instructions ? (check all that apply),0
What type of equipment did they prescribe ? (check all that apply),What would be your acceptable level of pain?,0
What type of equipment did they prescribe/ recommend? (check all that apply),What would you rate your pain level when it is out of control on a scale of 1-10?,0
What type of equipment did they prescribe? (check all that apply),When was the member identified in the program?,0
What type of network gap?,When you feel better do you sometimes stop taking your medicine?,0
What type of permanent access? (Primary Access being utilized at the time question asked),Where are you currently experiencing pain (select all that apply)?,0
What type of provider did the member choose?,Where do you get your blood pressure medication(s) filled?,0
What type of surgery was it?,What type of surgery was it?,1
What type of treatment have you tried?,Which future options?,0
What type of trouble are you having?,Which type of dialysis treatment are you receiving (Primary Modality)?,0
"What type of trouble are you having? (check all cognitive issues, then enter details below)","What type of trouble are you having? (check all cognitive issues, then enter details below)",1
What type of trouble are you having? (check all that apply),Which type of dialysis treatment is the member currently receiving? (Primary modality),0
What type(s) of tobacco cessation intervention are you currently using?,Which types of low vision equipment do you use?,0
What type(s) of tobacco do you currently use:,Which Vascular Access type?,0
What types of diets has member tried in the past? (select all that apply),Who are your care providers?,0
What types of hearing equipment do you use? (check all that apply),Who has been helping you ? (check all that apply),0
What types of tobacco do you use? (check all that apply),Who is providing answers to/assisting with the completion of this assessment?,0
What was the outcome Pre-Transplant evaluation work up?,Who is providing the answers to/assisting with these questions?,0
What was the sex of your baby?,What was the gender of your baby,1
What were the main reasons for member selecting an OON provider?,Who is your support person(s) (select all that apply)?,0
What were those instructions ? (check all that apply),Who prescribes that medication/those medications?,0
What would be your acceptable level of pain?,Why did the member choose ER vs another care setting?,0
What would you rate your pain level when it is out of control on a scale of 1-10?,Why do you believe you fell? (Check all that apply),0
When was the member identified in the program?,Why is member no longer seeking treatment?,0
When you feel better do you sometimes stop taking your medicine?,Why is member not pregnant and still seeking treatment?,0
Where are you currently experiencing pain (select all that apply)?,Why is member still seeking treatment?,0
Where do you get your blood pressure medication(s) filled?,Why is the member currently not working?,0
Where do you get your cholesterol medication(s) filled?,Will your baby/babies be covered under another insurance after delivery?,0
Which Vascular Access type?,Willing to answer questions/review program?,0
Which future options?,Willing to Talk?,0
Which type of dialysis treatment are you receiving (Primary Modality)?,Working:,0
Which type of dialysis treatment is the member currently receiving (Primary Modality)?,Which type of dialysis treatment receiving currently?,1
Which type of dialysis treatment is the member currently receiving? (Primary modality),Would patient's needs best be met at a Center of Excellence?,0
Which types of low vision equipment do you use?,Would you be able to get out of your home on your own if there was a crisis?,0
Who are your care providers?,Would you like to populate the plan of care for this member?,0
Who has been helping you ? (check all that apply),Would you like to review the Disaster Planning Checklist with the member?,0
Who is providing answers to/assisting with the completion of this assessment?,Would you provide me with several  of your latest blood sugar readings?,0
Who is providing the answers to/assisting with these questions?,Your heart pounding or racing,0
Who is the Primary Case Manager?,"Medical reason(s): If any of the following apply, provide safety tips and escalate to RN for further evaluation",0
Who is your support person(s) (select all that apply)?,Who is your support person(s) ?,1
Who prescribes that medication/those medications?,"Management of Bladder Control: ""Now I have some questions that can be sensitive about bladder control. This is an important health topic to talk about and I don't want you to feel uncomfortable at all."" Duri",0
Why did the member choose ER vs another care setting?,"Physical Activity in Older Adults: ""Being able to move around every day with exercise or other physical activity is very important as we age. You should talk about this during doctor visits, or at least at your a",0
Why do you believe you fell? (Check all that apply),"Additional details regarding ""member refuses"" dilated eye exam: (select best response)",0
Why is member no longer seeking treatment?,"Are you currently having any diabetes related issues (symptoms)? (i.e. shaking, sweating, dizziness, increased thirst, hunger, moodiness or frequent urination not related to a fluid pill)",0
Why is member not pregnant and still seeking treatment?,Colorectal cancer screening status: ,0
Why is member still seeking treatment?,Why is member still seeking treatment?,1
Why is the member currently not working?,Has your doctor ever told you that you have a heart condition(s)?     <br>If member is unsure of the medical terminology or is hesitant please prompt by the example diagnosis below.  <br>  or any of the following? (,0
Will your baby/babies be covered under another insurance after delivery?,"Have you had a broken bone in the current calendar year? (excluding toes, fingers, face and skull fractures)",0
Willing to Talk?,Member dilated eye exam status: ,0
Willing to answer questions/review program?,"Provide fall prevention tips.<font color=""#ff0000""> (General Guidelines: Provide at least 3 safety tips and no more than 5, or as applicable, based on member's response)Script: ""Falls put you a",0
Working:,Select STARS measure gaps: (select only those that apply),0
This member success story is being submitted on behalf of which primary Oncology program?,This member success story is being submitted on behalf of which primary Oncology program?,1
Would patient's needs best be met at a Center of Excellence?,"Fall Risk Management: ""I'd like to talk about preventing falls with you. Falling is not a normal part of aging, so I want to talk about preventing that from happening to you."" A fall is when your body ",0
Would you be able to get out of your home on your own if there was a crisis?,"Pneumonia Vaccine: should be assessed on all members 65 years of age and older.""I realize this may have already been discussed, but if you don't mind, I would like to ask:""<br>Ha",0
For Diabetes Health Navigator use ONLY: Select the correct level of care member was in when the cholesterol lowering medication gap was closed,For Diabetes Health Navigator use ONLY: Select the correct level of care member was in when the cholesterol lowering medication gap was closed,1
Would you like to review the Disaster Planning Checklist with the member?,For Diabetes Health Navigator USE ONLY: Select the correct level of care member was in when theflu vaccinegap was closed,0
Would you provide me with several  of your latest blood sugar readings?,Nurse direction: Was ICUE medication tab updated with member's current medications and discharge medications?,0
Your heart pounding or racing,Nurse direction: Were all discharge and current medications reviewed with member/responsible party?,0
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
